symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
QCOM,1Min,1min,3.693804135751594,2.606930636639525,27.290785950786557,-1.8973402784120206,27.429749265283043,0.045086714718741684,0.5236700829673011,0.001,2.0,20
AMD,1Min,1min,3.675619059172123,3.5891720425100866,39.33853828065379,-6.024781381995785,40.08971862518894,0.24372082674552753,0.5235923869944489,0.001,1.0,20
FTNT,5Min,5min,3.6251516133402077,3.496663613956385,28.829305966484718,-2.4716673691424083,28.912058893716807,0.026849227335820094,0.5587121212121212,0.001,1.5,10
TRGP,1Min,1min,3.6105419006026067,3.1887653461700873,23.698990052805225,-2.2028586364907983,23.801726301114368,0.03333282554155903,0.5285558384867225,0.01,1.0,20
UAL,1Min,1min,3.576557463151362,3.537778664704743,68.94338617097782,-10.909860800732716,69.96478301578861,0.33139270118497416,0.5365978066819689,0.001,1.0,10
LUV,1Min,1min,3.535866993603331,3.5671815399544884,58.32629309668009,-7.301210757474184,57.85565105168726,-0.1527000395329056,0.5093610698365527,0.001,1.0,10
SNPS,5Min,5min,3.5246213629371255,2.9384900844323383,28.748941681166997,-2.8899016378711035,28.608207663371815,-0.04566122026195778,0.591715976331361,0.001,2.0,20
PWR,1Min,1min,3.5140668965146187,3.1038736076492386,36.10493520440063,-5.263656497727812,36.07411152272253,-0.010000758455116327,0.5251538183134274,0.001,1.0,20
CTSH,5Min,5min,3.512640203479636,3.345047797587243,27.46070772722906,-2.6629570747217794,27.875311653628827,0.13451844480390293,0.5609348914858097,0.001,1.0,10
SBUX,1Min,1min,3.5096443111847635,3.3255160591738493,25.794556833706793,-3.0127765784027547,25.83982002035487,0.014685662838839411,0.5141874462596733,0.01,1.0,10
TPL,5Min,5min,3.496645214215997,3.165002013341688,36.22229227786284,-3.154052358409877,36.41564125725264,0.06273217004428296,0.5508982035928144,0.001,1.5,10
